,Product,Price,year,City
128,2017 Harley-Davidson Softail Slim FLS,13000,2017,amarillo
129,2005 Harley-Davidson® FLHTCUI - Electra Glide,6999,2005,amarillo
130,2010 Honda® Gold Wing Audio Comfort,9299,2010,amarillo
131,2015 Yamaha V Star® 950,6499,2015,amarillo
132,2018 Yamaha XSR900,8299,2018,amarillo
133,2019 Kawasaki Ninja® 650 ABS,6999,2019,amarillo
134,2019 Honda® Monkey,3499,2019,amarillo
135,2019 Honda® CBR300R ABS,4499,2019,amarillo
136,2020 Kawasaki Z400 ABS,4499,2020,amarillo
137,2020 Kawasaki Ninja® ZX™-10R ABS,15999,2020,amarillo
138,2017 Harley tri glide,31000,2017,amarillo
139,2002 HONDA CBR11,4500,2002,amarillo
140,1986 BMW K75C,2700,1986,amarillo
141,1980 YAMAHA XS,2700,1980,amarillo
142,1999 HD FXDWG,6500,1999,amarillo
143,2008 Honda Gold Wing Roadsmith Trike,24999,2008,amarillo
144,2022 Kawasaki Z125 PRO,3399,2022,amarillo
145,2022 Kawasaki Z400 ABS,5199,2022,amarillo
146,2011 Honda CBR 250R Honda CBR 250R,3499,2011,amarillo
147,2019 Kawasaki Ninja 1000 ABS Kawasaki Ninja 1000 ABS,10999,2019,amarillo
148,2005 Honda Gold Wing California Sidecar Trike,23999,2005,amarillo
149,2009 HD FLHTCU,7900,2009,amarillo
150,2011 HD XL883L,4900,2011,amarillo
151,2016 Ducati Scrambler Urban Enduro,7400,2016,amarillo
152,2017 Ducati 1299 Panigale S  -Premium Dealer!,19995,2017,amarillo
153,2020 Kawasaki KLX 300R Kawasaki KLX 300R,5299,2020,amarillo
154,2020 Kawasaki KLX 140 Kawasaki KLX 140,2999,2020,amarillo
155,2019 Honda Shadow Phantom Honda Shadow Phantom,7999,2019,amarillo
156,2019 Yamaha MT 07 Yamaha MT 07,7499,2019,amarillo
157,2016 Indian Motorcycle Scout Sixty Thunder Black  -Premium Dealer!,9995,2016,amarillo
158,2021 Harley-Davidson Cruiser Low Rider S Harley-Davidson Cruiser,19999,2021,amarillo
159,2006 Honda VTX 1300 R Honda VTX 1300 R,5999,2006,amarillo
160,2006 Honda VTX 1300 R Honda VTX 1300 R,5999,2006,amarillo
161,2014 Kawasaki KLR 650,4750,2014,amarillo
162,2006 HONDA DFT GOLDWING TRIKE Honda DFT GOLDWING TRIKE,19999,2006,amarillo
163,2006 HONDA DFT GOLDWING TRIKE Honda DFT GOLDWING TRIKE,19999,2006,amarillo
164,"2010 Victory ""Cross Roads"" Bagger/Touring Motorcycle",6900,2010,amarillo
165,2012 Yamaha YZFR1 YZFR 1 YZFR-1 Anniversary  YZF R1 Anniversary  YZF-,10149,2012,amarillo
166,2014 Suzuki GSX1300RAL4 GSX 1300 RAL 4 GSX-1300-RAL-4 HAYABUSA,11999,2014,amarillo
167,2016 Kawasaki Ninja ZX10R ZX 10 R ZX-10-R KRT ABS Ninja ZX 10R KRT AB,11999,2016,amarillo
168,2016 Yamaha R1 R 1 R-1,14299,2016,amarillo
169,2018 Ducati Panigale 959,14499,2018,amarillo
170,2018 Yamaha R1 R 1 R-1,15649,2018,amarillo
171,2020 Honda CB300 CB 300 CB-300,4499,2020,amarillo
172,2019 Ducati PANIGALE V4 V 4 V-4 S,23999,2019,amarillo
173,2011 Suzuki GSXR750 GSXR 750 GSXR-750 GSX R750 GSX-R750,8299,2011,amarillo
174,2012 Yamaha YZFR6 YZFR 6 YZFR-6 YZF R6 YZF-R6,8999,2012,amarillo
175,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R Ninja ZX 6R Ninja ZX-6R,9649,2015,amarillo
176,2015 Victory Gunner,9500,2015,amarillo
177,2009 Harley Nighster 1200xl,7000,2009,amarillo
178,2002 Honda vtx1800,4000,2002,amarillo
179,2013 Honda CRF450R,3700,2013,amarillo
180,2011 Harley Davidson Sportster,7500,2011,amarillo
181,2010 Harley-Davidson Street Glide CVO FLHXSE,16799,2010,amarillo
182,1986 Harley Davidson DYNA GLIDE FXRD MOTORCYCLE,7500,1986,amarillo
183,2011 Harley Davidson streetglide,13500,2011,amarillo
184,2018 Yamaha Star Venture Base Yamaha Star Venture Base,22999,2018,amarillo
185,2005 Suzuki V-Strom 1000 Suzuki V-Strom 1000,5999,2005,amarillo
186,2018 Yamaha Star Venture Base Yamaha Star Venture Base,22999,2018,amarillo
187,2005 Suzuki V-Strom 1000 Suzuki V-Strom 1000,5999,2005,amarillo
188,2019 Honda CRF450L,8750,2019,amarillo
189,2016 cheiftian,15000,2016,amarillo
190,1994 honda goldwing interstate,3500,1994,amarillo
