,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
63,1990 Suzuki VX800,gas,1111,black,clean,manual,,,,2000,1990,amarillo,suzuki
64,1992 BMW R100GSPD,gas,9400,red,salvage,manual,excellent,980,dual-sport,8500,1992,easttexas,bmw
65,1992 Custom R100,,,,,,,,,10500,1992,austin,custom
66,1992 GSX 1100G - Retromod,,,,,,,,,6995,1992,dallas,gsx
67,1992 YAMAHA FJ 1200 Sport Tourer,gas,33176,blue,clean,manual,excellent,1200,sport touring,2500,1992,corpuschristi,yamaha
68,1993 GL 1500 SE GOLDWING CHAMPION MOTOR TRIKE GL 1800 PERFECT ONLY 68K,gas,68060,white,clean,manual,like new,1500,touring,13900,1993,houston,gl
69,1993 Harley-Davidson® FLSTN - Heritage Softail Nostalgia,,,,,,,,,11950,1993,dallas,harleydavidson
70,1993 Honda Shadow 750,gas,36433,black,clean,manual,excellent,750,cruiser,3200,1993,houston,honda
71,1994 Honda Shadow 1100,gas,28000,black,clean,manual,good,1100,cruiser,3500,1994,dallas,honda
72,1994 honda goldwing interstate,gas,72000,red,clean,manual,,,,3500,1994,amarillo,honda
73,1995 Harley-Davidson Electra Glide Ultra Classic SKU,gas,8212,custom,clean,other,,,,29980,1995,dallas,harleydavidson
74,1995 Kawasaki Voyager,,,,,,,,,5000,1995,dallas,kawasaki
75,1995 Superglide / storage unit find,gas,10000000,red,clean,manual,like new,,bobber,7500,1995,austin,superglide
76,1995 honda magna 750,gas,8905,black,missing,manual,fair,,,2000,1995,dallas,honda
77,1996 Ducati 900 Supersport  -Premium Dealer!,,,,,,,,,6995,1996,beaumont,ducati
78,1996 Harley Davidson Softail FXSTB-Has the LOPE everyone wants,gas,62000,black,clean,manual,excellent,1380,cruiser,8500,1996,dallas,harley
79,1996 Honda Goldwing Aspencade Quick Sale,gas,85000,,,manual,,,,3500,1996,austin,honda
80,1996 Honda VF 750 C DT MAGNA  -Premium Dealer!,,,,,,,,,3995,1996,houston,honda
81,1996 Suzuki GSXR 1100  -Finance it with Instant Credit Approval!,,,,,,,,,6495,1996,houston,suzuki
82,1996 YZ250,gas,odometer broken,blue,missing,manual,excellent,250,dirtbike,3500,1996,dallas,yz250
83,1996 Yamaha Royal Star-13K miles,,,,,,,,,3000,1996,waco,yamaha
84,1996 sportster 1200 in great shape,gas,7600,black,clean,manual,excellent,1200,chopper,7500,1996,austin,sportster
85,1997 BMW 1200 RT,gas,24000,blue,clean,manual,excellent,1200,touring,12995,1997,austin,bmw
86,1997 Harley FLHRI Road King,gas,11945,black,clean,manual,excellent,1340,cruiser,8000,1997,austin,harley
87,1997 Harley Fat Boy Low Miles,gas,13000,black,clean,manual,,1340,,11500,1997,corpuschristi,harley
88,1997 Honda gold wing,gas,122084,white,clean,manual,good,1500,touring,2500,1997,austin,honda
89,1997 KTM 250 EXC,gas,1000,,,manual,excellent,,,5500,1997,dallas,ktm
90,1997 Kawasaki Ninja ZX-6R,gas,15500,red,clean,manual,good,600,sport bike,3500,1997,dallas,kawasaki
