,Product,Price,year,City,Brand
63,2005 *Harley-Davidson* *Dyna* *Wide* *Glide* *FXDWGI*,6782,2005,abilene,*Harley-Davidson*
64,2013 *Harley-Davidson* *FLHTK* *EG* *Ultra*,15982,2013,abilene,*Harley-Davidson*
65,2019 *Harley-Davidson* *FLFBS* *Fat* *Boy*,19572,2019,abilene,*Harley-Davidson*
66,2014 *Harley-Davidson* *FLHTCUTG* *Tri* *Glide*,28752,2014,abilene,*Harley-Davidson*
67,2016 *Harley-Davidson* *Heritage* *Softail* *Classic* *FLSTC* 103,15473,2016,abilene,*Harley-Davidson*
68,2020 *Polaris* *Slingshot* *R* *Autodrive*,31983,2020,abilene,*Polaris*
69,2016 *Polaris* *Slingshot* *SL*,23872,2016,abilene,*Polaris*
70,2017 *Harley-Davidson* *Street* *Glide* *Special* *FLHXS*,21983,2017,abilene,*Harley-Davidson*
71,2020 *Polaris* *Ranger* *1000* *EPS* *(Camouflage)*,16981,2020,abilene,*Polaris*
72,2021 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special* ** *Stage* 3,34572,2021,abilene,*Harley-Davidson*
73,2017 *Harley-Davidson* *SuperLow* *1200T* *XL1200T*,10991,2017,abilene,*Harley-Davidson*
74,2020 *Ducati* *Panigale* *V2*,15981,2020,abilene,*Ducati*
75,2021 *Ducati* *Supersport* *950*,13981,2021,abilene,*Ducati*
76,2014 *Harley-Davidson* *FLHXS* *Street* *Glide*,18472,2014,abilene,*Harley-Davidson*
77,2016 *Harley-Davidson* *Ultra* *Limited* *FLHTK*,18983,2016,abilene,*Harley-Davidson*
78,2014 *Harley-Davidson* *Street* *Glide* *Special* *FLHXS*,18751,2014,abilene,*Harley-Davidson*
79,2015 *Harley-Davidson* *FLHXS* *Street* *Glide* *Special*,18472,2015,abilene,*Harley-Davidson*
80,2011 *Harley-Davidson* *Fat* *Boy* *Lo* *FLSTFB*,13500,2011,abilene,*Harley-Davidson*
81,2018 *Kawasaki* *KX450F*,6992,2018,abilene,*Kawasaki*
82,2021 *Genuine Scooter Co* *Grand* *Tourer* ** *150*,2991,2021,abilene,*Genuine
