,Product,Price,year,City,Brand
97,1998 Harley 1200 Custom,3600,1998,dallas,harley
98,1998 Harley Davidson Dyna low Rider,7450,1998,sanantonio,harley
99,1998 Harley sportster,5200,1998,dallas,harley
100,1998 Honda Rebel,875,1998,dallas,honda
101,1998 Honda Tour,4200,1998,dallas,honda
102,1998 Honda Valkyrie F6 Nice,4900,1998,houston,honda
103,1998 Kawasaki Kx125,2500,1998,houston,kawasaki
104,1998 SUZUKI TL 1000  -Finance it with Instant Credit Approval!,5995,1998,dallas,suzuki
105,1998 Suzuki GSXR 750 SRAD,4000,1998,houston,suzuki
106,1998 Suzuki RMX250,3250,1998,dallas,suzuki
107,1998 YAMAHA,3650,1998,mcallen,yamaha
108,1999 *Harley-Davidson* *Road* *King* *Classic* *FUEL* INJECTED,6991,1999,abilene,harleydavidson
109,1999 HD FXDWG,6500,1999,amarillo,hd
110,1999 Harley Davidson Ultra Classic,7000,1999,corpuschristi,harley
111,1999 Harley Davidson Ultra Glide,4800,1999,austin,harley
112,1999 Harley Fat Boy,7500,1999,houston,harley
113,1999 Harley-Davidson Dyna Wide Gide,5495,1999,dallas,harleydavidson
114,1999 Honda XR80R,1200,1999,abilene,honda
115,1999 Kawasaki KE100,1500,1999,dallas,kawasaki
116,1999 Kawasaki ZRX1100,6500,1999,dallas,kawasaki
117,1999 Suzuki Intruder 1500,3200,1999,waco,suzuki
118,1999 Yamaha Road Star Silverado,4496,1999,austin,yamaha
119,1999 honda goldwing,5000,1999,sanantonio,honda
120,2000  Suzuki,10500,2000,beaumont,suzuki
121,2000 BMW R1150GS,6500,2000,sanantonio,bmw
122,2000 Custom Harley Davidson Duece (FXSTD),9500,2000,dallas,custom
123,2000 FLSTF FAT BOY,5500,2000,austin,flstf
124,2000 Harley Davidson Dyna Low Rider,8000,2000,houston,harley
125,2000 Harley Davidson Sportster,3400,2000,beaumont,harley
126,2000 Harley Heritage Classic,8500,2000,dallas,harley
127,2000 Harley-Davidson® FLHRCI - Road King® Classic,7499,2000,dallas,harleydavidson
128,2000 Harley-Davidson® FXDWG - Dyna® Wide Glide®,5899,2000,dallas,harleydavidson
129,2000 Honda areo 1100C,3500,2000,collegestation,honda
130,2000 Honda helix scooter,2200,2000,dallas,honda
131,2000 KAWASAKI VULCAN 1500 NOMAD FI,4950,2000,austin,kawasaki
132,2000 Kawasaki Ninja ZX12R,4800,2000,dallas,kawasaki
133,2000 Roadstar 1200cc,5200,2000,abilene,roadstar
134,2000 SUZUKI INTRUDER 1500cc,2900,2000,corpuschristi,suzuki
135,2000 Yamaha Roadstar 1200,5200,2000,abilene,yamaha
136,2000 Yamaha V Star Classic,2500,2000,houston,yamaha
137,2000 Yamaha XV1600 Road Star,4499,2000,dallas,yamaha
138,2000 kawasaki concours,1450,2000,austin,kawasaki
139,2001 Custom Harley Sporster 883,6500,2001,beaumont,custom
140,2001 Ducati 996S - flawless showroom new example!,12995,2001,houston,ducati
141,2001 Dyna Wide Glide CVO,13299,2001,beaumont,dyna
142,2001 FLHRCI Road King,6995,2001,houston,flhrci
143,2001 HD FXSTB Night Train,6000,2001,corpuschristi,hd
144,2001 Harley-Davidson Sportster 883,4000,2001,austin,harleydavidson
145,2001 Harley-Davidson® FXDWG - Dyna® Wide Glide®,5990,2001,dallas,harleydavidson
146,2001 Harley-Davidson® FXDWG2 - Wide Glide® CVO,9950,2001,austin,harleydavidson
147,2001 Harley-Davidson® FXSTD - Softail® Deuce,7950,2001,sanantonio,harleydavidson
148,2001 Harley-Davidson® FXSTS - Springer Softail®,9990,2001,dallas,harleydavidson
149,2001 Honda Valkyrie 1500 F6,6500,2001,amarillo,honda
150,2001 Honda shadow Sabre VT1100,1700,2001,beaumont,honda
151,2001 Honda xr650l dual sport,4000,2001,amarillo,honda
152,2001 Triumph Tiger 955i,2495,2001,houston,triumph
153,2001 XR80R,1500,2001,austin,xr80r
154,2001 Yamaha Road Star Bagger,4195,2001,abilene,yamaha
155,2001 kawasaki Vulcan 800,7800,2001,dallas,kawasaki
156,2002 BMW R1150 RT Motorcycle,2700,2002,austin,bmw
157,2002 Big Dog Pitbull,6000,2002,easttexas,big
158,2002 HONDA CBR11,4500,2002,amarillo,honda
159,"2002 HONDA GOLDWING 1800  SPYDER MOTOR TRIKE - ONLY 51,592 MILES",14500,2002,houston,honda
160,2002 Harley Davidson Heritage Softail,6500,2002,houston,harley
161,2002 Harley Davidson Night Train,10000,2002,sanantonio,harley
162,2002 Harley Davidson fat boy,6900,2002,beaumont,harley
163,2002 Harley Dyna Low Rider Custom,6900,2002,houston,harley
164,2002 Harley Road King Beautiful,6950,2002,dallas,harley
165,2002 Harley-Davidson® FLSTF - Softail® Fat Boy®,6999,2002,dallas,harleydavidson
166,2002 Heritage Soft-tail Harley Davidson,10,2002,corpuschristi,heritage
167,2002 Honda XR200,1999,2002,corpuschristi,honda
168,2002 Honda XR50R,1300,2002,corpuschristi,honda
169,2002 Honda vtx1800,4000,2002,amarillo,honda
170,2002 Kawasaki ZZR 1200,4300,2002,beaumont,kawasaki
171,2002 Punisher Custom Chopper,12300,2002,corpuschristi,punisher
172,2002 R1150GS,4900,2002,amarillo,r1150gs
173,2002 Suzuki VL800,3500,2002,dallas,suzuki
174,2002 cr250r,3600,2002,dallas,cr250r
175,2002 harley davidson sportster,4000,2002,sanantonio,harley
176,2003 Anniversary Edition Heritage Softail,6500,2003,dallas,anniversary
177,2003 BMW R1200CLC,3750,2003,dallas,bmw
178,2003 HARLEY ULTRA CLASSIC 100th Anniversary FLHTCUI - Collector Ultra,8800,2003,amarillo,harley
179,2003 Harley Davidson,15,2003,mcallen,harley
180,2003 Harley Davidson Electra glide,5000,2003,houston,harley
181,2003 Harley Davidson Road King,7500,2003,corpuschristi,harley
182,2003 Harley Davidson Road King 100 yr. Anniversary,8500,2003,corpuschristi,harley
183,2003 Harley Davidson Roadking,12000,2003,houston,harley
184,2003 Harley Davidson Ultra-Classic,9800,2003,dallas,harley
185,2003 Harley Davidson XLH 883 Custom,4500,2003,dallas,harley
186,2003 Harley Heritage Softail Anniversary,5800,2003,beaumont,harley
187,2003 Harley Road King,25000,2003,houston,harley
188,2003 Harley electric glide 100 year anniversary addition,7000,2003,dallas,harley
189,2003 Harley-Davidson FXST,9332,2003,mcallen,harleydavidson
190,2003 Harley-Davidson Softail,6500,2003,easttexas,harleydavidson
191,2003 Harley-Davidson® FXSTDI - Softail® Deuce Injection,7950,2003,austin,harleydavidson
192,2003 Harley-Davidson® XL1200C - Sportster® 1200 Custom 100th,4950,2003,sanantonio,harleydavidson
193,2003 Honda ST1300,4700,2003,dallas,honda
194,2003 Honda VFR800 Interceptor,4500,2003,austin,honda
195,2003 Honda Vtx1800s,5990,2003,easttexas,honda
196,2003 Honda XR 400,2400,2003,dallas,honda
197,2003 Kawasaki ZZR 600,4400,2003,dallas,kawasaki
198,2003 Night Train Anniversary,6000,2003,dallas,night
199,2003 Suzuki 800 Maurader,3000,2003,mcallen,suzuki
200,2003 Suzuki intruder,4000,2003,dallas,suzuki
201,2003 TTR 125,1700,2003,austin,ttr
202,2003 Ural,8500,2003,dallas,ural
203,2003 Victory V92TC,5000,2003,austin,victory
204,2003 Yamaha YZF R6  -Finance it with Instant Credit Approval!,4995,2003,houston,yamaha
205,2003 kawasaki ZRX 1200R,6800,2003,dallas,kawasaki
206,2003 road king anniversary edition,7000,2003,austin,road
207,2003 vtx 1800C,5000,2003,houston,vtx
208,2004 Big Dog Motorcycles Mastiff,9950,2004,sanantonio,big
209,2004 HARLEY DAVIDSON V-ROD,6480,2004,dallas,harley
210,2004 Harley Davidson Road King FLHRCI,6800,2004,sanantonio,harley
211,2004 Harley Davidson Softail Bagger,8100,2004,sanantonio,harley
212,2004 Harley Davidson Sportster XL 1200C,7000,2004,beaumont,harley
213,2004 Harley FXDI Dyna Super Glide®,7999,2004,houston,harley
214,2004 Harley Softail Deuce CVO,15000,2004,austin,harley
215,2004 Harley-Davidson Dyna Low Rider,6500,2004,abilene,harleydavidson
216,2004 Harley-Davidson® FLSTCI - Heritage Softail® Classic,7499,2004,dallas,harleydavidson
217,2004 Honda CR250X,3199,2004,dallas,honda
218,2004 Honda CRF,2500,2004,dallas,honda
219,2004 Honda VFR800,4500,2004,dallas,honda
220,2004 Honda VTX 1800,5000,2004,dallas,honda
221,2004 Honda VTX1300C4,3500,2004,beaumont,honda
222,2004 Kawasaki Concours,1950,2004,dallas,kawasaki
223,2004 Kawasaki KDX 220r,4450,2004,dallas,kawasaki
224,2004 Kawasaki Ninja 636 cc,3500,2004,dallas,kawasaki
225,2004 Ninja ZX12R,5400,2004,sanantonio,ninja
226,2004 ST1300ABS,5000,2004,beaumont,st1300abs
227,2004 Yamaha FJR 1300,5000,2004,dallas,yamaha
228,2004 Yamaha Royal Star Midnight Venture,6500,2004,houston,yamaha
229,2004 Yamaha XVS1100 1100,3995,2004,dallas,yamaha
230,2004 ZRX 1200 r Kawasaki,5800,2004,beaumont,zrx
