Brand,Price
BMW,10807.66
Canam,15040.344827586207
Ducati,14641.577777777778
Harley Davidson,15236.259319286872
Honda,7912.014423076923
Indian,15760.823529411764
KTM,8351.666666666666
Kawasaki,7448.910256410257
Polaris,21280.7
Suzuki,8387.69642857143
Triumph,9293.796610169491
Victory,8719.42857142857
Yamaha,7087.175
