,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
57,57,1996 Ducati 900 Supersport  -Premium Dealer!,,,,,,,,,6995,1996,Beaumont,Ducati
58,58,1996 Harley Davidson Softail FXSTB-Has the LOPE everyone wants,gas,62000,black,clean,manual,excellent,1380,cruiser,8500,1996,Dallas,Harley Davidson
59,59,1996 Honda Goldwing Aspencade Quick Sale,gas,85000,,,manual,,,,3500,1996,Austin,Honda
60,60,1996 Honda VF 750 C DT MAGNA  -Premium Dealer!,,,,,,,,,3995,1996,Houston,Honda
61,61,1996 Suzuki GSXR 1100  -Finance it with Instant Credit Approval!,,,,,,,,,6495,1996,Houston,Suzuki
62,62,1996 Yamaha Royal Star-13K miles,,,,,,,,,3000,1996,Waco,Yamaha
63,63,1997 BMW 1200 RT,gas,24000,blue,clean,manual,excellent,1200,touring,12995,1997,Austin,BMW
64,64,1997 Harley FLHRI Road King,gas,11945,black,clean,manual,excellent,1340,cruiser,8000,1997,Austin,Harley Davidson
65,65,1997 Harley Fat Boy Low Miles,gas,13000,black,clean,manual,,1340,,11500,1997,Corpus Christi,Harley Davidson
66,66,1997 Honda gold wing,gas,122084,white,clean,manual,good,1500,touring,2500,1997,Austin,Honda
67,67,1997 KTM 250 EXC,gas,1000,,,manual,excellent,,,5500,1997,Dallas,KTM
68,68,1997 Kawasaki Ninja ZX-6R,gas,15500,red,clean,manual,good,600,sport bike,3500,1997,Dallas,Kawasaki
69,69,1997 Kawasaki Vulcan VN1500D Classic for sale or trade AWESOME BIKE!!!,,,,,,,,,4000,1997,Amarillo,Kawasaki
70,70,1998 Harley Davidson Dyna low Rider,gas,39000,,,manual,like new,,,8000,1998,Corpus Christi,Harley Davidson
71,71,1998 Harley Davidson Softail Custom,gas,14700,black,clean,other,good,1485,other,9200,1998,Houston,Harley Davidson
72,72,1998 Harley-Davidson® FLSTF - Fat Boy® 95th Anniversary Edition,,,,,,,,,7990,1998,Dallas,Harley Davidson
73,73,1998 Honda Tour,gas,18000,black,clean,manual,excellent,1100,cruiser,4600,1998,Dallas,Honda
74,74,1998 Honda VT600CD  -Finance it with Instant Credit Approval!,,,,,,,,,2995,1998,Dallas,Honda
75,75,1998 Honda Valkyrie F6 Nice,gas,22995,black,clean,manual,excellent,1500,cruiser,4900,1998,Houston,Honda
